col0,col1,col2,col3
N. Everard,1849-10-24,1929-7-12,1849-10-24
N. Bowater,1892-12-25,1984-1-22,1892-12-25
M. Sharp,1856-1-30,1924-5-22,1856-1-30
M. Burrell,1699-11-5,1787-4-6,1699-11-5
M. Blakiston,1702-1-1,1774-1-1,1702-1-1
"Martin Redmayne, Baron Redmayne of Rushcliffe",1910-11-16,1983-4-28,1910-11-16
L. Bennet,1631-1-1,1693-12-5,1631-1-1
L. Forestier-Walker,1866-1-1,1934-1-1,1866-1-1
L. V. Palk,1793-04-24,1860-05-16,1793-04-24
J. Hewitt,1865-10-14,1923-2-8,1865-10-14
J. Neeld,1805-1-1,1891-1-1,1805-1-1
J. Kinloch,1849-1-1,1910-1-1,1849-1-1
J. B. Edwards,1889-1-12,1922-8-22,1889-1-12
J. Aubrey-Fletcher,1912-8-22,1992-6-19,1912-8-22
J. Armytage,1732-7-13,1758-9-10,1732-7-13
J. Lucas,1889-8-27,1980-5-2,1889-8-27
J. Rushout,1644-3-22,1698-2-16,1644-3-22
J. E. Home,1798-10-25,1853-11-1,1798-10-25
J. Bellingham,1623-9-8,1650-10-26,1623-9-8
H. Evelyn,1769-1-31,1848-8-28,1769-1-31
H. Mackworth,1687-9-7,1765-8-20,1687-9-7
H. Cory,1857-2-2,1933-2-2,1857-2-2
H. Stracey,1802-1-1,1885-1-1,1802-1-1
H. Peek,1825-2-26,1898-8-26,1825-2-26
H. Hibbert,1850-4-4,1927-11-15,1850-4-4
H. Benyon,1884-1-1,1959-1-1,1884-1-1
H. Meysey-Thompson,1809-8-11,1874-5-17,1809-8-11
H. Hope,1865-1-1,1959-1-1,1865-1-1
H. A. Wernher,1893-1-16,1973-6-30,1893-1-16
H. Lever,1869-4-18,1947-7-1,1869-4-18
H. Kerr,1903-8-1,1974-12-26,1903-8-1
G. Foster,1866-6-10,1931-1-1,1866-6-10
G. Stucley,1812-8-17,1900-3-13,1812-8-17
G. Sleight,1853-3-26,1921-3-19,1853-3-26
G. Holcroft,1856-0-0,1951-4-19,1856-0-0
G. C. Williams,1878-1-1,1958-1-1,1878-1-1
G. B. Smith,1912-12-12,1976-9-18,1912-12-12
G. Bisshopp,1791-7-5,1834-3-22,1791-7-5
G. Cornewall,1869-5-7,1951-1-21,1869-5-7
F. Milner,1849-11-7,1931-6-8,1849-11-7
F. Sanderson,1880-1-1,1965-7-18,1880-1-1
